id,timestamp,mac,rssi,mac_pai
10356,2025-10-13 22:19:09,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10357,2025-10-13 22:24:05,40:4c:ca:5e:09:2c,-61,null
10358,2025-10-13 22:24:09,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10359,2025-10-13 22:29:05,40:4c:ca:5e:09:2c,-62,null
10360,2025-10-13 22:29:09,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10361,2025-10-13 22:34:05,40:4c:ca:5e:09:2c,-58,null
10362,2025-10-13 22:34:10,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10363,2025-10-13 22:39:05,40:4c:ca:5e:09:2c,-58,null
10364,2025-10-13 22:39:10,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10365,2025-10-13 22:44:05,40:4c:ca:5e:09:2c,-59,null
10366,2025-10-13 22:44:10,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10367,2025-10-13 22:49:05,40:4c:ca:5e:09:2c,-57,null
10368,2025-10-13 22:49:10,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10369,2025-10-13 22:54:05,40:4c:ca:5e:09:2c,-58,null
10370,2025-10-13 22:54:10,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10371,2025-10-13 22:59:05,40:4c:ca:5e:09:2c,-58,null
10372,2025-10-13 22:59:10,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10373,2025-10-13 23:04:06,40:4c:ca:5e:09:2c,-55,null
10374,2025-10-13 23:04:11,40:4c:ca:5e:00:a0,-76,40:4c:ca:5e:09:2d
10375,2025-10-13 23:09:06,40:4c:ca:5e:09:2c,-58,null
10376,2025-10-13 23:09:11,40:4c:ca:5e:00:a0,-78,40:4c:ca:5e:09:2d
10377,2025-10-13 23:14:06,40:4c:ca:5e:09:2c,-55,null
10378,2025-10-13 23:14:11,40:4c:ca:5e:00:a0,-77,40:4c:ca:5e:09:2d
10379,2025-10-13 23:19:06,40:4c:ca:5e:09:2c,-56,null
10380,2025-10-13 23:19:11,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10381,2025-10-13 23:24:06,40:4c:ca:5e:09:2c,-59,null
10382,2025-10-13 23:24:11,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10383,2025-10-13 23:29:06,40:4c:ca:5e:09:2c,-57,null
10384,2025-10-13 23:29:12,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10385,2025-10-13 23:34:06,40:4c:ca:5e:09:2c,-57,null
10386,2025-10-13 23:34:12,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10387,2025-10-13 23:39:06,40:4c:ca:5e:09:2c,-57,null
10388,2025-10-13 23:39:12,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10389,2025-10-13 23:44:08,40:4c:ca:5e:09:2c,-56,null
10390,2025-10-13 23:44:12,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10391,2025-10-13 23:49:06,40:4c:ca:5e:09:2c,-58,null
10392,2025-10-13 23:49:12,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10393,2025-10-13 23:54:06,40:4c:ca:5e:09:2c,-57,null
10394,2025-10-13 23:54:12,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10395,2025-10-13 23:59:06,40:4c:ca:5e:09:2c,-56,null
10396,2025-10-13 23:59:12,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10397,2025-10-14 00:04:06,40:4c:ca:5e:09:2c,-58,null
10398,2025-10-14 00:04:12,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10399,2025-10-14 00:09:06,40:4c:ca:5e:09:2c,-56,null
10400,2025-10-14 00:09:12,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10401,2025-10-14 00:14:06,40:4c:ca:5e:09:2c,-57,null
10402,2025-10-14 00:14:12,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10403,2025-10-14 00:19:06,40:4c:ca:5e:09:2c,-58,null
10404,2025-10-14 00:19:13,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10405,2025-10-14 00:24:06,40:4c:ca:5e:09:2c,-59,null
10406,2025-10-14 00:24:13,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10407,2025-10-14 00:29:06,40:4c:ca:5e:09:2c,-58,null
10408,2025-10-14 00:29:13,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10409,2025-10-14 00:34:06,40:4c:ca:5e:09:2c,-56,null
10410,2025-10-14 00:34:13,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10411,2025-10-14 00:39:06,40:4c:ca:5e:09:2c,-58,null
10412,2025-10-14 00:39:13,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10413,2025-10-14 00:44:06,40:4c:ca:5e:09:2c,-58,null
10414,2025-10-14 00:44:13,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10415,2025-10-14 00:49:06,40:4c:ca:5e:09:2c,-56,null
10416,2025-10-14 00:49:13,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10417,2025-10-14 00:54:06,40:4c:ca:5e:09:2c,-56,null
10418,2025-10-14 00:54:13,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10419,2025-10-14 00:59:06,40:4c:ca:5e:09:2c,-56,null
10420,2025-10-14 00:59:14,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10421,2025-10-14 01:04:06,40:4c:ca:5e:09:2c,-56,null
10422,2025-10-14 01:04:14,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10423,2025-10-14 01:09:06,40:4c:ca:5e:09:2c,-55,null
10424,2025-10-14 01:09:14,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10425,2025-10-14 01:14:06,40:4c:ca:5e:09:2c,-56,null
10426,2025-10-14 01:14:14,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10427,2025-10-14 01:19:06,40:4c:ca:5e:09:2c,-56,null
10428,2025-10-14 01:19:14,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10429,2025-10-14 01:24:06,40:4c:ca:5e:09:2c,-58,null
10430,2025-10-14 01:24:14,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10431,2025-10-14 01:29:06,40:4c:ca:5e:09:2c,-56,null
10432,2025-10-14 01:29:15,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10433,2025-10-14 01:34:06,40:4c:ca:5e:09:2c,-57,null
10434,2025-10-14 01:34:15,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10435,2025-10-14 01:39:06,40:4c:ca:5e:09:2c,-56,null
10436,2025-10-14 01:39:15,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10437,2025-10-14 01:44:06,40:4c:ca:5e:09:2c,-56,null
10438,2025-10-14 01:44:15,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10439,2025-10-14 01:49:06,40:4c:ca:5e:09:2c,-57,null
10440,2025-10-14 01:49:15,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10441,2025-10-14 01:54:06,40:4c:ca:5e:09:2c,-56,null
10442,2025-10-14 01:54:15,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10443,2025-10-14 01:59:06,40:4c:ca:5e:09:2c,-57,null
10444,2025-10-14 01:59:15,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10445,2025-10-14 02:04:06,40:4c:ca:5e:09:2c,-55,null
10446,2025-10-14 02:04:15,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10447,2025-10-14 02:09:06,40:4c:ca:5e:09:2c,-56,null
10448,2025-10-14 02:09:16,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10449,2025-10-14 02:14:06,40:4c:ca:5e:09:2c,-55,null
10450,2025-10-14 02:14:16,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10451,2025-10-14 02:19:06,40:4c:ca:5e:09:2c,-55,null
10452,2025-10-14 02:19:16,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10453,2025-10-14 02:24:06,40:4c:ca:5e:09:2c,-56,null
10454,2025-10-14 02:24:16,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10455,2025-10-14 02:29:06,40:4c:ca:5e:09:2c,-56,null
10456,2025-10-14 02:29:16,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10457,2025-10-14 02:34:06,40:4c:ca:5e:09:2c,-57,null
10458,2025-10-14 02:34:16,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10459,2025-10-14 02:39:06,40:4c:ca:5e:09:2c,-57,null
10460,2025-10-14 02:39:17,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10461,2025-10-14 02:44:06,40:4c:ca:5e:09:2c,-58,null
10462,2025-10-14 02:44:17,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10463,2025-10-14 02:49:06,40:4c:ca:5e:09:2c,-56,null
10464,2025-10-14 02:49:17,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10465,2025-10-14 02:54:06,40:4c:ca:5e:09:2c,-56,null
10466,2025-10-14 02:54:17,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10467,2025-10-14 02:59:06,40:4c:ca:5e:09:2c,-56,null
10468,2025-10-14 02:59:17,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10469,2025-10-14 03:04:06,40:4c:ca:5e:09:2c,-56,null
10470,2025-10-14 03:04:17,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10471,2025-10-14 03:09:07,40:4c:ca:5e:09:2c,-57,null
10472,2025-10-14 03:09:17,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10473,2025-10-14 03:14:07,40:4c:ca:5e:09:2c,-57,null
10474,2025-10-14 03:14:17,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10475,2025-10-14 03:19:07,40:4c:ca:5e:09:2c,-56,null
10476,2025-10-14 03:19:18,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10477,2025-10-14 03:24:07,40:4c:ca:5e:09:2c,-56,null
10478,2025-10-14 03:24:18,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10479,2025-10-14 03:29:07,40:4c:ca:5e:09:2c,-57,null
10480,2025-10-14 03:29:18,40:4c:ca:5e:00:a0,-75,40:4c:ca:5e:09:2d
10481,2025-10-14 03:34:07,40:4c:ca:5e:09:2c,-56,null
10482,2025-10-14 03:34:18,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10483,2025-10-14 03:39:07,40:4c:ca:5e:09:2c,-56,null
10484,2025-10-14 03:39:18,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10485,2025-10-14 03:44:07,40:4c:ca:5e:09:2c,-56,null
10486,2025-10-14 03:44:18,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10487,2025-10-14 03:49:07,40:4c:ca:5e:09:2c,-59,null
10488,2025-10-14 03:49:19,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10489,2025-10-14 03:54:07,40:4c:ca:5e:09:2c,-58,null
10490,2025-10-14 03:54:19,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10491,2025-10-14 03:59:07,40:4c:ca:5e:09:2c,-60,null
10492,2025-10-14 03:59:19,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10493,2025-10-14 04:04:07,40:4c:ca:5e:09:2c,-56,null
10494,2025-10-14 04:04:19,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10495,2025-10-14 04:09:07,40:4c:ca:5e:09:2c,-56,null
10496,2025-10-14 04:09:19,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10497,2025-10-14 04:14:07,40:4c:ca:5e:09:2c,-55,null
10498,2025-10-14 04:14:19,40:4c:ca:5e:00:a0,-73,40:4c:ca:5e:09:2d
10499,2025-10-14 04:19:07,40:4c:ca:5e:09:2c,-56,null
10500,2025-10-14 04:19:19,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10501,2025-10-14 04:24:07,40:4c:ca:5e:09:2c,-55,null
10502,2025-10-14 04:24:19,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
10503,2025-10-14 04:24:28,null,,null
10504,2025-10-14 04:29:07,40:4c:ca:5e:09:2c,-55,null
10505,2025-10-14 04:29:20,40:4c:ca:5e:00:a0,-73,40:4c:ca:5e:09:2d
10506,2025-10-14 04:34:07,40:4c:ca:5e:09:2c,-55,null
10507,2025-10-14 04:34:20,40:4c:ca:5e:00:a0,-74,40:4c:ca:5e:09:2d
