id,timestamp,mac,temperatura,umidade,latencia,hops
14648,2025-12-06 23:16:56,40:4c:ca:5d:f7:d4,20.27,74.42,127,1
14649,2025-12-06 23:18:50,40:4c:ca:5e:00:a0,27.06,80.68,495,1
14650,2025-12-06 23:20:11,40:4c:ca:5d:e6:e8,27.69,70.32,93,1
14651,2025-12-06 23:20:11,40:4c:ca:5e:0f:34,27.69,70.32,130,2
14652,2025-12-06 23:21:11,40:4c:ca:5e:02:44,27.69,70.32,204,3
14653,2025-12-06 23:21:56,40:4c:ca:5d:f7:d4,27.06,80.68,130,1
14654,2025-12-06 23:23:50,40:4c:ca:5e:00:a0,21.12,75.01,418,1
14655,2025-12-06 23:25:11,40:4c:ca:5d:e6:e8,28.17,67.47,95,1
14656,2025-12-06 23:25:11,40:4c:ca:5e:0f:34,28.17,67.47,113,2
14657,2025-12-06 23:26:11,40:4c:ca:5e:02:44,28.17,67.47,215,3
14658,2025-12-06 23:26:56,40:4c:ca:5d:f7:d4,21.12,75.01,354,1
14659,2025-12-06 23:28:50,40:4c:ca:5e:00:a0,23.1,76.8,143,1
14660,2025-12-06 23:30:11,40:4c:ca:5d:e6:e8,23.72,61.68,518,1
14661,2025-12-06 23:30:11,40:4c:ca:5e:0f:34,23.72,61.68,1337,2
14662,2025-12-06 23:31:11,40:4c:ca:5e:02:44,23.72,61.68,1425,3
14663,2025-12-06 23:31:56,40:4c:ca:5d:f7:d4,23.1,76.8,731,1
14664,2025-12-06 23:33:50,40:4c:ca:5e:00:a0,23.58,70.71,420,1
14665,2025-12-06 23:35:11,40:4c:ca:5d:e6:e8,24.8,69.23,382,1
14666,2025-12-06 23:35:11,40:4c:ca:5e:0f:34,24.8,69.23,1064,2
14667,2025-12-06 23:36:11,40:4c:ca:5e:02:44,24.8,69.23,176,3
14668,2025-12-06 23:36:56,40:4c:ca:5d:f7:d4,23.58,70.71,95,1
14669,2025-12-06 23:38:50,40:4c:ca:5e:00:a0,23.31,75.14,102,1
14670,2025-12-06 23:40:11,40:4c:ca:5d:e6:e8,24.49,65.92,84,1
14671,2025-12-06 23:40:11,40:4c:ca:5e:0f:34,24.49,65.92,131,2
14672,2025-12-06 23:41:11,40:4c:ca:5e:02:44,24.49,65.92,157,3
