id,timestamp,mac,rssi,mac_pai,snr
26545,2025-12-10 10:18:28,e0:5a:1b:75:02:68,-70,40:4c:ca:5d:f3:b9,
26546,2025-12-10 10:18:28,e0:5a:1b:75:02:68,-70,40:4c:ca:5d:f3:b9,
26547,2025-12-10 10:19:07,40:4c:ca:5e:0f:34,-71,40:4c:ca:5d:e6:e9,
26548,2025-12-10 10:19:51,40:4c:ca:5d:e6:e8,-84,40:4c:ca:5d:f3:b9,
26549,2025-12-10 10:19:53,40:4c:ca:5d:e6:e8,-84,40:4c:ca:5d:f3:b9,
26550,2025-12-10 10:21:56,40:4c:ca:5d:f3:b8,-56,null,
26551,2025-12-10 10:22:36,40:4c:ca:5e:09:2c,-89,40:4c:ca:5d:f3:b9,
26552,2025-12-10 10:22:36,40:4c:ca:5e:09:2c,-89,40:4c:ca:5d:f3:b9,
26553,2025-12-10 10:23:28,e0:5a:1b:75:02:68,-63,40:4c:ca:5d:f3:b9,
26554,2025-12-10 10:23:28,e0:5a:1b:75:02:68,-63,40:4c:ca:5d:f3:b9,
26555,2025-12-10 10:24:08,40:4c:ca:5e:0f:34,-78,40:4c:ca:5d:f3:b9,
26556,2025-12-10 10:24:51,40:4c:ca:5d:e6:e8,-69,40:4c:ca:5e:0f:35,
26557,2025-12-10 10:26:56,40:4c:ca:5d:f3:b8,-57,null,
26558,2025-12-10 10:27:36,40:4c:ca:5e:09:2c,-87,40:4c:ca:5d:f3:b9,
26559,2025-12-10 10:27:36,40:4c:ca:5e:09:2c,-87,40:4c:ca:5d:f3:b9,
26560,2025-12-10 10:27:42,null,,null,
26561,2025-12-10 10:28:27,e0:5a:1b:75:02:68,-66,40:4c:ca:5d:f3:b9,
26562,2025-12-10 10:28:29,e0:5a:1b:75:02:68,-66,40:4c:ca:5d:f3:b9,
26563,2025-12-10 10:29:08,40:4c:ca:5e:0f:34,-78,40:4c:ca:5d:f3:b9,
26564,2025-12-10 10:29:51,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26565,2025-12-10 10:31:58,40:4c:ca:5d:f3:b8,-57,null,
26566,2025-12-10 10:32:37,40:4c:ca:5e:09:2c,-89,40:4c:ca:5d:f3:b9,
26567,2025-12-10 10:32:37,40:4c:ca:5e:09:2c,-89,40:4c:ca:5d:f3:b9,
26568,2025-12-10 10:33:29,e0:5a:1b:75:02:68,-66,40:4c:ca:5d:f3:b9,
26569,2025-12-10 10:33:29,e0:5a:1b:75:02:68,-66,40:4c:ca:5d:f3:b9,
26570,2025-12-10 10:33:29,e0:5a:1b:75:02:68,-66,40:4c:ca:5d:f3:b9,
26571,2025-12-10 10:34:10,40:4c:ca:5e:0f:34,-79,40:4c:ca:5d:f3:b9,
26572,2025-12-10 10:34:10,40:4c:ca:5e:0f:34,-79,40:4c:ca:5d:f3:b9,
26573,2025-12-10 10:34:10,40:4c:ca:5e:0f:34,-79,40:4c:ca:5d:f3:b9,
26574,2025-12-10 10:34:10,40:4c:ca:5e:0f:34,-79,40:4c:ca:5d:f3:b9,
26575,2025-12-10 10:34:53,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26576,2025-12-10 10:34:53,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26577,2025-12-10 10:34:53,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26578,2025-12-10 10:36:58,40:4c:ca:5d:f3:b8,-56,null,
26579,2025-12-10 10:37:37,40:4c:ca:5e:09:2c,-89,40:4c:ca:5d:f3:b9,
26580,2025-12-10 10:37:37,40:4c:ca:5e:09:2c,-89,40:4c:ca:5d:f3:b9,
26581,2025-12-10 10:38:31,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26582,2025-12-10 10:38:31,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26583,2025-12-10 10:38:31,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26584,2025-12-10 10:38:31,e0:5a:1b:75:02:68,-65,40:4c:ca:5d:f3:b9,
26585,2025-12-10 10:39:10,40:4c:ca:5e:0f:34,-78,40:4c:ca:5d:f3:b9,
26586,2025-12-10 10:39:10,40:4c:ca:5e:0f:34,-78,40:4c:ca:5d:f3:b9,
26587,2025-12-10 10:39:10,40:4c:ca:5e:0f:34,-78,40:4c:ca:5d:f3:b9,
26588,2025-12-10 10:39:53,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26589,2025-12-10 10:39:53,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26590,2025-12-10 10:39:53,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26591,2025-12-10 10:41:57,40:4c:ca:5d:f3:b8,-56,null,
26592,2025-12-10 10:42:36,40:4c:ca:5e:09:2c,-87,40:4c:ca:5d:f3:b9,
26593,2025-12-10 10:42:36,40:4c:ca:5e:09:2c,-87,40:4c:ca:5d:f3:b9,
26594,2025-12-10 10:43:29,e0:5a:1b:75:02:68,-68,40:4c:ca:5d:f3:b9,
26595,2025-12-10 10:43:29,e0:5a:1b:75:02:68,-68,40:4c:ca:5d:f3:b9,
26596,2025-12-10 10:44:09,40:4c:ca:5e:0f:34,-79,40:4c:ca:5d:f3:b9,
26597,2025-12-10 10:44:09,40:4c:ca:5e:0f:34,-79,40:4c:ca:5d:f3:b9,
26598,2025-12-10 10:44:51,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26599,2025-12-10 10:44:52,40:4c:ca:5d:e6:e8,-70,40:4c:ca:5e:0f:35,
26600,2025-12-10 10:46:57,40:4c:ca:5d:f3:b8,-58,null,
