id,timestamp,sucesso,perda,layer,nos,rtt,trocas_pai,ult_troca,retransmissoes
4230,2025-10-19 00:13:17,100.0,0.0,2,2,0,1,0,0
4231,2025-10-19 00:18:17,100.0,0.0,2,2,0,1,0,0
4232,2025-10-19 00:23:17,100.0,0.0,2,2,0,1,0,0
4233,2025-10-19 00:28:17,100.0,0.0,2,2,0,1,0,0
4234,2025-10-19 00:33:17,100.0,0.0,2,2,0,1,0,0
4235,2025-10-19 00:38:17,100.0,0.0,2,2,0,1,0,0
4236,2025-10-19 00:43:17,100.0,0.0,2,2,0,1,0,0
4237,2025-10-19 00:48:17,100.0,0.0,2,2,0,1,0,0
4238,2025-10-19 00:53:17,100.0,0.0,2,2,0,1,0,0
4239,2025-10-19 00:58:17,100.0,0.0,2,2,0,1,0,0
4240,2025-10-19 01:03:17,100.0,0.0,2,2,0,1,0,0
4241,2025-10-19 01:08:17,100.0,0.0,2,2,0,1,0,0
4242,2025-10-19 01:13:17,100.0,0.0,2,2,0,1,0,0
4243,2025-10-19 01:18:17,100.0,0.0,2,2,0,1,0,0
4244,2025-10-19 01:23:17,100.0,0.0,2,2,0,1,0,0
4245,2025-10-19 01:28:17,100.0,0.0,2,2,0,1,0,0
4246,2025-10-19 01:33:17,100.0,0.0,2,2,0,1,0,0
4247,2025-10-19 01:38:17,100.0,0.0,2,2,0,1,0,0
4248,2025-10-19 01:43:18,100.0,0.0,2,2,0,1,0,0
4249,2025-10-19 01:48:18,100.0,0.0,2,2,0,1,0,0
4250,2025-10-19 01:53:18,100.0,0.0,2,2,0,1,0,0
4251,2025-10-19 01:58:18,100.0,0.0,2,2,0,1,0,0
4252,2025-10-19 02:03:18,100.0,0.0,2,2,0,1,0,0
4253,2025-10-19 02:08:18,100.0,0.0,2,2,0,1,0,0
4254,2025-10-19 02:13:18,100.0,0.0,2,2,0,1,0,0
4255,2025-10-19 02:18:18,100.0,0.0,2,2,0,1,0,0
4256,2025-10-19 02:23:18,100.0,0.0,2,2,0,1,0,0
4257,2025-10-19 02:28:18,100.0,0.0,2,2,0,1,0,0
4258,2025-10-19 02:33:18,100.0,0.0,2,2,0,1,0,0
4259,2025-10-19 02:38:18,100.0,0.0,2,2,0,1,0,0
4260,2025-10-19 02:43:18,100.0,0.0,2,2,0,1,0,0
4261,2025-10-19 02:48:18,100.0,0.0,2,2,0,1,0,0
4262,2025-10-19 02:53:18,100.0,0.0,2,2,0,1,0,0
4263,2025-10-19 02:58:18,100.0,0.0,2,2,0,1,0,0
4264,2025-10-19 03:03:18,100.0,0.0,2,2,0,1,0,0
4265,2025-10-19 03:08:18,100.0,0.0,2,2,0,1,0,0
4266,2025-10-19 03:13:18,100.0,0.0,2,2,0,1,0,0
4267,2025-10-19 03:18:18,100.0,0.0,2,2,0,1,0,0
4268,2025-10-19 03:23:18,100.0,0.0,2,2,0,1,0,0
4269,2025-10-19 03:28:18,100.0,0.0,2,2,0,1,0,0
4270,2025-10-19 03:33:18,100.0,0.0,2,2,0,1,0,0
4271,2025-10-19 03:38:18,100.0,0.0,2,2,0,1,0,0
4272,2025-10-19 03:43:18,100.0,0.0,2,2,0,1,0,0
4273,2025-10-19 03:48:18,100.0,0.0,2,2,0,1,0,0
4274,2025-10-19 03:53:18,100.0,0.0,2,2,0,1,0,0
4275,2025-10-19 03:58:18,100.0,0.0,2,2,0,1,0,0
4276,2025-10-19 04:03:18,100.0,0.0,2,2,0,1,0,0
4277,2025-10-19 04:08:18,100.0,0.0,2,2,0,1,0,0
4278,2025-10-19 04:13:18,100.0,0.0,2,2,0,1,0,0
4279,2025-10-19 04:18:18,100.0,0.0,2,2,0,1,0,0
4280,2025-10-19 04:23:18,100.0,0.0,2,2,0,1,0,0
4281,2025-10-19 04:28:18,100.0,0.0,2,2,0,1,0,0
4282,2025-10-19 04:33:18,100.0,0.0,2,2,0,1,0,0
4283,2025-10-19 04:38:18,100.0,0.0,2,2,0,1,0,0
4284,2025-10-19 04:43:18,100.0,0.0,2,2,0,1,0,0
4285,2025-10-19 04:48:18,100.0,0.0,2,2,0,1,0,0
4286,2025-10-19 04:53:18,100.0,0.0,2,2,0,1,0,0
4287,2025-10-19 04:58:18,100.0,0.0,2,2,0,1,0,0
4288,2025-10-19 05:03:18,100.0,0.0,2,2,0,1,0,0
4289,2025-10-19 05:08:18,100.0,0.0,2,2,0,1,0,0
4290,2025-10-19 05:13:18,100.0,0.0,2,2,0,1,0,0
4291,2025-10-19 05:18:18,100.0,0.0,2,2,0,1,0,0
4292,2025-10-19 05:23:18,100.0,0.0,2,2,0,1,0,0
4293,2025-10-19 05:28:18,100.0,0.0,2,2,0,1,0,0
4294,2025-10-19 05:33:18,100.0,0.0,2,2,0,1,0,0
4295,2025-10-19 05:38:18,100.0,0.0,2,2,0,1,0,0
4296,2025-10-19 05:43:18,100.0,0.0,2,2,0,1,0,0
4297,2025-10-19 05:48:18,100.0,0.0,2,2,0,1,0,0
4298,2025-10-19 05:53:18,100.0,0.0,2,2,0,1,0,0
4299,2025-10-19 05:58:18,100.0,0.0,2,2,0,1,0,0
4300,2025-10-19 06:03:18,100.0,0.0,2,2,0,1,0,0
4301,2025-10-19 06:08:18,100.0,0.0,2,2,0,1,0,0
4302,2025-10-19 06:13:18,100.0,0.0,2,2,0,1,0,0
4303,2025-10-19 06:18:18,100.0,0.0,2,2,0,1,0,0
4304,2025-10-19 06:23:18,100.0,0.0,2,2,0,1,0,0
4305,2025-10-19 06:28:18,100.0,0.0,2,2,0,1,0,0
4306,2025-10-19 06:33:19,100.0,0.0,2,2,0,1,0,0
4307,2025-10-19 06:38:19,100.0,0.0,2,2,0,1,0,0
4308,2025-10-19 06:43:19,100.0,0.0,2,2,0,1,0,0
4309,2025-10-19 06:48:19,100.0,0.0,2,2,0,1,0,0
4310,2025-10-19 06:53:19,100.0,0.0,2,2,0,1,0,0
4311,2025-10-19 06:58:19,100.0,0.0,2,2,0,1,0,0
4312,2025-10-19 07:03:19,100.0,0.0,2,2,0,1,0,0
4313,2025-10-19 07:08:19,100.0,0.0,2,2,0,1,0,0
4314,2025-10-19 07:13:19,100.0,0.0,2,2,0,1,0,0
4315,2025-10-19 07:18:19,100.0,0.0,2,2,0,1,0,0
4316,2025-10-19 07:23:19,100.0,0.0,2,2,0,1,0,0
4317,2025-10-19 07:28:19,100.0,0.0,2,2,0,1,0,0
4318,2025-10-19 07:33:19,100.0,0.0,2,2,0,1,0,0
4319,2025-10-19 07:38:19,100.0,0.0,2,2,0,1,0,0
4320,2025-10-19 07:43:19,100.0,0.0,2,2,0,1,0,0
4321,2025-10-19 07:48:19,100.0,0.0,2,2,0,1,0,0
4322,2025-10-19 07:53:19,100.0,0.0,2,2,0,1,0,0
4323,2025-10-19 07:58:19,100.0,0.0,2,2,0,1,0,0
4324,2025-10-19 08:03:19,100.0,0.0,2,2,0,1,0,0
4325,2025-10-19 08:08:19,100.0,0.0,2,2,0,1,0,0
4326,2025-10-19 08:13:19,100.0,0.0,2,2,0,1,0,0
4327,2025-10-19 08:18:19,100.0,0.0,2,2,0,1,0,0
4328,2025-10-19 08:23:19,100.0,0.0,2,2,0,1,0,0
4329,2025-10-19 08:28:19,100.0,0.0,2,2,0,1,0,0
4330,2025-10-19 08:33:19,100.0,0.0,2,2,0,1,0,0
4331,2025-10-19 08:38:19,100.0,0.0,2,2,0,1,0,0
4332,2025-10-19 08:43:19,100.0,0.0,2,2,0,1,0,0
4333,2025-10-19 08:48:19,100.0,0.0,2,2,0,1,0,0
4334,2025-10-19 08:53:19,100.0,0.0,2,2,0,1,0,0
4335,2025-10-19 08:58:19,100.0,0.0,2,2,0,1,0,0
4336,2025-10-19 09:03:19,100.0,0.0,2,2,0,1,0,0
4337,2025-10-19 09:08:19,100.0,0.0,2,2,0,1,0,0
4338,2025-10-19 09:13:19,100.0,0.0,2,2,0,1,0,0
4339,2025-10-19 09:18:19,100.0,0.0,2,2,0,1,0,0
4340,2025-10-19 09:23:19,100.0,0.0,2,2,0,1,0,0
4341,2025-10-19 09:28:19,100.0,0.0,2,2,0,1,0,0
4342,2025-10-19 09:33:19,100.0,0.0,2,2,0,1,0,0
4343,2025-10-19 09:38:19,100.0,0.0,2,2,0,1,0,0
4344,2025-10-19 09:43:19,100.0,0.0,2,2,0,1,0,0
4345,2025-10-19 09:48:19,100.0,0.0,2,2,0,1,0,0
4346,2025-10-19 09:53:19,100.0,0.0,2,2,0,1,0,0
4347,2025-10-19 09:58:19,100.0,0.0,2,2,0,1,0,0
4348,2025-10-19 10:03:19,100.0,0.0,2,2,0,1,0,0
4349,2025-10-19 10:08:19,100.0,0.0,2,2,0,1,0,0
4350,2025-10-19 10:13:19,100.0,0.0,2,2,0,1,0,0
4351,2025-10-19 10:18:19,100.0,0.0,2,2,0,1,0,0
4352,2025-10-19 10:23:19,100.0,0.0,2,2,0,1,0,0
4353,2025-10-19 10:28:19,100.0,0.0,2,2,0,1,0,0
4354,2025-10-19 10:33:19,100.0,0.0,2,2,0,1,0,0
4355,2025-10-19 10:38:19,100.0,0.0,2,2,0,1,0,0
4356,2025-10-19 10:43:19,100.0,0.0,2,2,0,1,0,0
4357,2025-10-19 10:48:19,100.0,0.0,2,2,0,1,0,0
4358,2025-10-19 10:53:19,100.0,0.0,2,2,0,1,0,0
4359,2025-10-19 10:58:19,100.0,0.0,2,2,0,1,0,0
4360,2025-10-19 11:03:19,100.0,0.0,2,2,0,1,0,0
4361,2025-10-19 11:08:19,100.0,0.0,2,2,0,1,0,0
4362,2025-10-19 11:13:19,100.0,0.0,2,2,0,1,0,0
4363,2025-10-19 11:18:20,100.0,0.0,2,2,0,1,0,0
4364,2025-10-19 11:23:20,100.0,0.0,2,2,0,1,0,0
4365,2025-10-19 11:28:20,100.0,0.0,2,2,0,1,0,0
4366,2025-10-19 11:33:20,100.0,0.0,2,2,0,1,0,0
4367,2025-10-19 11:38:20,100.0,0.0,2,2,0,1,0,0
4368,2025-10-19 11:43:20,100.0,0.0,2,2,0,1,0,0
4369,2025-10-19 11:48:20,100.0,0.0,2,2,0,1,0,0
4370,2025-10-19 11:53:20,100.0,0.0,2,2,0,1,0,0
4371,2025-10-19 11:58:20,100.0,0.0,2,2,0,1,0,0
4372,2025-10-19 12:03:20,100.0,0.0,2,2,0,1,0,0
4373,2025-10-19 12:08:20,100.0,0.0,2,2,0,1,0,0
4374,2025-10-19 12:13:20,100.0,0.0,2,2,0,1,0,0
4375,2025-10-19 12:18:20,100.0,0.0,2,2,0,1,0,0
4376,2025-10-19 12:23:20,100.0,0.0,2,2,0,1,0,0
4377,2025-10-19 12:28:20,100.0,0.0,2,2,0,1,0,0
4378,2025-10-19 12:33:20,100.0,0.0,2,2,0,1,0,0
4379,2025-10-19 12:38:20,100.0,0.0,2,2,0,1,0,0
4380,2025-10-19 12:43:20,100.0,0.0,2,2,0,1,0,0
4381,2025-10-19 12:48:20,100.0,0.0,2,2,0,1,0,0
4382,2025-10-19 12:53:20,100.0,0.0,2,2,0,1,0,0
4383,2025-10-19 12:58:20,100.0,0.0,2,2,0,1,0,0
4384,2025-10-19 13:03:20,100.0,0.0,2,2,0,1,0,0
4385,2025-10-19 13:08:20,100.0,0.0,2,2,0,1,0,0
4386,2025-10-19 13:13:20,100.0,0.0,2,2,0,1,0,0
4387,2025-10-19 13:18:20,100.0,0.0,2,2,0,1,0,0
4388,2025-10-19 13:23:20,100.0,0.0,2,2,0,1,0,0
4389,2025-10-19 13:28:20,100.0,0.0,2,2,0,1,0,0
4390,2025-10-19 13:33:20,100.0,0.0,2,2,0,1,0,0
4391,2025-10-19 13:38:20,100.0,0.0,2,2,0,1,0,0
4392,2025-10-19 13:43:20,100.0,0.0,2,2,0,1,0,0
4393,2025-10-19 13:48:20,100.0,0.0,2,2,0,1,0,0
4394,2025-10-19 13:53:20,100.0,0.0,2,2,0,1,0,0
4395,2025-10-19 13:58:20,100.0,0.0,2,2,0,1,0,0
4396,2025-10-19 14:03:20,100.0,0.0,2,2,0,1,0,0
4397,2025-10-19 14:08:20,100.0,0.0,2,2,0,1,0,0
4398,2025-10-19 14:13:20,100.0,0.0,2,2,0,1,0,0
4399,2025-10-19 14:18:20,100.0,0.0,2,2,0,1,0,0
4400,2025-10-19 14:23:20,100.0,0.0,2,2,0,1,0,0
4401,2025-10-19 14:28:20,100.0,0.0,2,2,0,1,0,0
4402,2025-10-19 14:33:20,100.0,0.0,2,2,0,1,0,0
4403,2025-10-19 14:38:20,100.0,0.0,2,2,0,1,0,0
4404,2025-10-19 14:43:20,100.0,0.0,2,2,0,1,0,0
4405,2025-10-19 14:48:20,100.0,0.0,2,2,0,1,0,0
4406,2025-10-19 14:53:20,100.0,0.0,2,2,0,1,0,0
4407,2025-10-19 14:58:20,100.0,0.0,2,2,0,1,0,0
4408,2025-10-19 15:03:20,100.0,0.0,2,2,0,1,0,0
4409,2025-10-19 15:08:20,100.0,0.0,2,2,0,1,0,0
4410,2025-10-19 15:13:20,100.0,0.0,2,2,0,1,0,0
4411,2025-10-19 15:18:20,100.0,0.0,2,2,0,1,0,0
4412,2025-10-19 15:23:20,100.0,0.0,2,2,0,1,0,0
4413,2025-10-19 15:28:20,100.0,0.0,2,2,0,1,0,0
4414,2025-10-19 15:33:20,100.0,0.0,2,2,0,1,0,0
4415,2025-10-19 15:38:20,100.0,0.0,2,2,0,1,0,0
4416,2025-10-19 15:43:20,100.0,0.0,2,2,0,1,0,0
4417,2025-10-19 15:48:20,100.0,0.0,2,2,0,1,0,0
4418,2025-10-19 15:53:20,100.0,0.0,2,2,0,1,0,0
4419,2025-10-19 15:58:20,100.0,0.0,2,2,0,1,0,0
4420,2025-10-19 16:03:20,100.0,0.0,2,2,0,1,0,0
4421,2025-10-19 16:08:20,100.0,0.0,2,2,0,1,0,0
4422,2025-10-19 16:13:21,100.0,0.0,2,2,0,1,0,0
4423,2025-10-19 16:18:21,100.0,0.0,2,2,0,1,0,0
4424,2025-10-19 16:23:21,100.0,0.0,2,2,0,1,0,0
4425,2025-10-19 16:28:21,100.0,0.0,2,2,0,1,0,0
4426,2025-10-19 16:33:21,100.0,0.0,2,2,0,1,0,0
4427,2025-10-19 16:38:21,100.0,0.0,2,2,0,1,0,0
4428,2025-10-19 16:43:21,100.0,0.0,2,2,0,1,0,0
4429,2025-10-19 16:48:21,100.0,0.0,2,2,0,1,0,0
4430,2025-10-19 16:53:21,100.0,0.0,2,2,0,1,0,0
4431,2025-10-19 16:58:21,100.0,0.0,2,2,0,1,0,0
4432,2025-10-19 17:03:21,100.0,0.0,2,2,0,1,0,0
4433,2025-10-19 17:08:21,100.0,0.0,2,2,0,1,0,0
4434,2025-10-19 17:13:21,100.0,0.0,2,2,0,1,0,0
4435,2025-10-19 17:18:21,100.0,0.0,2,2,0,1,0,0
4436,2025-10-19 17:23:21,100.0,0.0,2,2,0,1,0,0
4437,2025-10-19 17:28:21,100.0,0.0,2,2,0,1,0,0
4438,2025-10-19 17:33:21,100.0,0.0,2,2,0,1,0,0
4439,2025-10-19 17:38:21,100.0,0.0,2,2,0,1,0,0
4440,2025-10-19 17:43:21,100.0,0.0,2,2,0,1,0,0
4441,2025-10-19 17:48:21,100.0,0.0,2,2,0,1,0,0
4442,2025-10-19 17:53:21,100.0,0.0,2,2,0,1,0,0
4443,2025-10-19 17:58:21,100.0,0.0,2,2,0,1,0,0
4444,2025-10-19 18:03:21,100.0,0.0,2,2,0,1,0,0
4445,2025-10-19 18:08:21,100.0,0.0,2,2,0,1,0,0
4446,2025-10-19 18:13:21,100.0,0.0,2,2,0,1,0,0
4447,2025-10-19 18:18:21,100.0,0.0,2,2,0,1,0,0
4448,2025-10-19 18:23:21,100.0,0.0,2,2,0,1,0,0
4449,2025-10-19 18:28:21,100.0,0.0,2,2,0,1,0,0
4450,2025-10-19 18:33:21,100.0,0.0,2,2,0,1,0,0
4451,2025-10-19 18:38:21,100.0,0.0,2,2,0,1,0,0
4452,2025-10-19 18:43:21,100.0,0.0,2,2,0,1,0,0
4453,2025-10-19 18:48:21,100.0,0.0,2,2,0,1,0,0
4454,2025-10-19 18:53:21,100.0,0.0,2,2,0,1,0,0
4455,2025-10-19 18:58:21,100.0,0.0,2,2,0,1,0,0
4456,2025-10-19 19:03:21,100.0,0.0,2,2,0,1,0,0
4457,2025-10-19 19:08:21,100.0,0.0,2,2,0,1,0,0
4458,2025-10-19 19:13:21,100.0,0.0,2,2,0,1,0,0
4459,2025-10-19 19:18:21,100.0,0.0,2,2,0,1,0,0
4460,2025-10-19 19:23:21,100.0,0.0,2,2,0,1,0,0
4461,2025-10-19 19:28:21,100.0,0.0,2,2,0,1,0,0
4462,2025-10-19 19:33:21,100.0,0.0,2,2,0,1,0,0
4463,2025-10-19 19:38:21,100.0,0.0,2,2,0,1,0,0
4464,2025-10-19 19:43:21,100.0,0.0,2,2,0,1,0,0
4465,2025-10-19 19:48:21,100.0,0.0,2,2,0,1,0,0
4466,2025-10-19 19:53:21,100.0,0.0,2,2,0,1,0,0
4467,2025-10-19 19:58:21,100.0,0.0,2,2,0,1,0,0
4468,2025-10-19 20:03:21,100.0,0.0,2,2,0,1,0,0
4469,2025-10-19 20:08:21,100.0,0.0,2,2,0,1,0,0
4470,2025-10-19 20:13:21,100.0,0.0,2,2,0,1,0,0
4471,2025-10-19 20:18:21,100.0,0.0,2,2,0,1,0,0
4472,2025-10-19 20:23:21,100.0,0.0,2,2,0,1,0,0
4473,2025-10-19 20:28:21,100.0,0.0,2,2,0,1,0,0
4474,2025-10-19 20:33:21,100.0,0.0,2,2,0,1,0,0
4475,2025-10-19 20:38:21,100.0,0.0,2,2,0,1,0,0
4476,2025-10-19 20:43:21,100.0,0.0,2,2,0,1,0,0
4477,2025-10-19 20:48:21,100.0,0.0,2,2,0,1,0,0
